id,text,source,language,category
31,"Hurricane Otis made landfall near Acapulco, Mexico on October 25, 2023 as a Category 5 storm with sustained winds of 270 kilometers per hour. The storm intensified from a tropical storm to Category 5 in just 12 hours, a rate of rapid intensification unprecedented in the Eastern Pacific. The disaster caused over $16 billion in damages and killed at least 52 people.",National Hurricane Center,en,impact
32,"The Sahel region of Africa experienced its worst food crisis in a decade during 2023, with 45 million people facing acute food insecurity. Erratic rainfall patterns, prolonged droughts, and locust infestations destroyed crops across Burkina Faso, Mali, Niger, and Chad. The World Food Programme distributed emergency aid to 12 million people but warned that funding gaps could leave millions without assistance.",World Food Programme Bulletin,en,impact
33,"Glacial lake outburst floods in the Himalayas have increased by 10 times since 1990. In October 2023, a GLOF in Sikkim, India destroyed the Teesta III hydropower dam, killed over 40 people, and washed away bridges and roads. The 23 billion dollar dam had been operational for less than a year. Scientists estimate that over 5,000 glacial lakes in the Hindu Kush Himalaya region pose potential flood risks.",Himalayan Climate Digest,en,impact
34,"Coral reef ecosystems that support the livelihoods of approximately 500 million people worldwide are projected to decline by 70-90% under 1.5 degrees of warming and virtually disappear at 2 degrees. The economic value of coral reef services, including fisheries, tourism, and coastal protection, is estimated at $375 billion per year globally. The Caribbean has already lost 50% of its coral cover since 1970.",UNEP Coral Reef Report,en,impact
35,"Jordan's Disi Water Conveyance Project, completed in 2013 at a cost of $990 million, transports 100 million cubic meters of water annually from the Disi aquifer to Amman and Aqaba. However, the aquifer is a non-renewable fossil water resource, and current extraction rates will deplete it within 50 years. The government is now investing in desalination and wastewater recycling as long-term alternatives.",Jordan Water Authority Report,en,adaptation
36,"The Kingdom of Jordan inaugurated a 200-megawatt solar power plant in Mafraq in January 2024, bringing the country's total renewable energy capacity to 2,400 megawatts. Jordan aims to generate 50% of its electricity from renewable sources by 2030, up from 29% in 2023. The Mafraq plant, financed by the European Bank for Reconstruction and Development, will power approximately 110,000 households.",Jordan Times,en,adaptation
37,"Singapore's national adaptation strategy includes a $72 billion investment over 100 years in coastal protection infrastructure. The city-state plans to raise land levels by up to 4 meters in low-lying areas and construct a network of sea walls and tidal gates. The Tuas Nexus integrated waste and water treatment facility, opening in 2025, will recover resources from wastewater and solid waste simultaneously.",Singapore Climate Adaptation Plan,en,adaptation
38,"UNEP's Adaptation Gap Report 2023 found that adaptation finance needs in developing countries are 10 to 18 times greater than current public finance flows. The report estimates annual adaptation costs of $215 to $387 billion per year through 2030. Only $21 billion in adaptation finance flowed to developing countries in 2021, leaving a gap that grows wider as climate impacts intensify.",UNEP Adaptation Report,en,adaptation
39,"The Netherlands' Room for the River program, completed in 2019 at a cost of 2.3 billion euros, redesigned 34 locations along the Rhine, Meuse, and IJssel rivers to accommodate higher water levels. Rather than raising dikes further, the program lowered floodplains, created water storage areas, and relocated homes. The approach has become a model for nature-based flood management across Europe.",European Adaptation Case Studies,en,adaptation
40,"Kenya's Great Green Wall initiative has planted over 15 million trees along a 400-kilometer corridor in the country's arid north since 2020. The project employs 12,000 community members and has restored 5,000 hectares of degraded land. FAO provides technical support for species selection, and the World Bank funds community grants for sustainable land management practices that complement the reforestation effort.",FAO Restoration Monitor,en,adaptation
41,"Bangladesh's Cyclone Preparedness Programme, established in 1972 and expanded with Red Cross support, has reduced cyclone mortality by over 99% despite increasing storm intensity. The program maintains 76,000 trained volunteers, 4,000 concrete shelters, and an early warning system that reaches 35 million coastal residents. The $12 per capita annual cost is considered one of the most cost-effective adaptation investments globally.",Red Cross Climate Centre,en,adaptation
42,"Abu Dhabi's Masdar City, a planned sustainable urban development, integrates passive cooling architecture that reduces indoor temperatures by 15 to 20 degrees Celsius without mechanical air conditioning. The city uses a 10-megawatt solar plant, a district cooling system, and electric autonomous vehicles. As of 2024, Masdar City houses 6,000 residents and 600 businesses, including the headquarters of the International Renewable Energy Agency.",MENA Environmental Report,en,adaptation
43,"The city of Amman launched its Climate Action Plan in 2021, targeting a 40% reduction in municipal greenhouse gas emissions by 2030. Key initiatives include a bus rapid transit system serving 300,000 daily passengers, 25,000 rooftop solar installations, and a citywide building energy efficiency code. The plan was developed with support from the C40 Cities Climate Leadership Group.",Amman Municipal Climate Report,en,adaptation
44,"Israel's Sorek B desalination plant, scheduled for completion in 2025, will produce 200 million cubic meters of drinking water annually at a cost of $0.40 per cubic meter. The facility uses reverse osmosis membranes powered entirely by renewable energy. Israel already desalinates 80% of its domestic water supply, demonstrating that arid nations can achieve water security through technology investment.",Water Technology International,en,adaptation
45,"Costa Rica achieved 99.5% renewable electricity generation in 2023, drawing on hydropower, geothermal, wind, and solar sources. The country has maintained over 98% renewable generation for nine consecutive years. Costa Rica's National Decarbonization Plan targets net-zero emissions by 2050 and includes electrification of public transport, reforestation of 60,000 hectares, and elimination of single-use plastics by 2025.",Central America Climate Digest,en,adaptation
46,"The African Development Bank's Desert to Power initiative aims to install 10 gigawatts of solar capacity across 11 Sahel countries by 2030, providing electricity to 250 million people. As of 2024, 3.2 gigawatts have been installed. The program includes distributed solar systems for rural health clinics and schools, battery storage for nighttime access, and vocational training for 15,000 solar technicians.",African Development Bank Report,en,adaptation
47,"India's updated Nationally Determined Contribution pledges to achieve 50% cumulative installed electric power capacity from non-fossil fuel sources by 2030 and reduce the carbon intensity of GDP by 45% from 2005 levels. Prime Minister Narendra Modi announced the targets at COP26 in Glasgow in November 2021, alongside a net-zero target of 2070.",Climate Policy Brief,en,policy
48,"The Loss and Damage Fund, established at COP27 in Sharm el-Sheikh and operationalized at COP28, received initial pledges totaling $792 million. Germany and the UAE each pledged $100 million, while the United Kingdom committed $75 million. Developing nations argued that the total falls far short of the estimated $400 billion in annual loss and damage costs.",UNFCCC Finance Report,en,policy
49,"Brazil's Ministry of Environment and Climate Change announced in August 2023 that Amazon deforestation had declined by 48% in the first seven months of President Lula da Silva's administration compared to the same period in 2022. The ministry credited strengthened enforcement by IBAMA and the reactivation of the Amazon Fund, which received $500 million from Norway and Germany.",Amazon Climate Observatory,en,policy
50,"The International Energy Agency's Net Zero by 2050 roadmap states that no new oil and gas fields should be approved for development beyond those already committed as of 2021. The roadmap calls for annual clean energy investment to reach $4 trillion by 2030, up from $1.3 trillion in 2022. IEA Executive Director Fatih Birol emphasized that the transition offers significant economic opportunities alongside emission reductions.",IEA World Energy Outlook,en,policy
51,"Saudi Arabia's Vision 2030 includes a target of generating 50% of electricity from renewable sources, anchored by the $500 billion NEOM megacity project and the 2,600-megawatt Sudair solar plant. The kingdom plans to reduce its carbon emissions by 278 million tonnes annually by 2030 through the Saudi Green Initiative and the broader Middle East Green Initiative, which aims to plant 50 billion trees across the region.",MENA Environmental Report,en,policy
52,"The Kigali Amendment to the Montreal Protocol, which entered into force in January 2019, mandates an 80% reduction in hydrofluorocarbon production and consumption by 2047. HFCs are potent greenhouse gases with warming potentials thousands of times greater than CO2. UNEP estimates that full implementation of the Kigali Amendment will avoid up to 0.5 degrees Celsius of warming by 2100.",UNEP Ozone Secretariat,en,policy
53,"The Jordanian parliament passed the Renewable Energy and Energy Efficiency Law in December 2023, requiring all new commercial buildings to install solar water heating systems and setting a minimum energy performance standard for government buildings. The law also establishes a $50 million green financing facility administered through the Central Bank of Jordan to support private sector clean energy investments.",Jordan Energy Regulatory Commission,en,policy
54,"A study published in Nature Communications in February 2024 used machine learning models to predict that the Arctic could experience its first ice-free September as early as the 2030s, a decade earlier than most IPCC projections. The researchers trained neural networks on 40 years of satellite observations and found that even under aggressive emission reduction scenarios, ice-free conditions are likely before 2050.",Nature Communications,en,science
55,"The Global Carbon Project estimated that total CO2 emissions from fossil fuels and industry reached 36.8 billion tonnes in 2023, a 1.1% increase over 2022. Coal emissions rose by 1.0% to 15.5 billion tonnes, oil emissions increased by 1.5%, and natural gas emissions grew by 0.5%. India and China accounted for the largest absolute emission increases, while emissions in the European Union declined by 7.4%.",Global Carbon Project,en,science
56,"Methane concentrations in the atmosphere reached 1,923 parts per billion in 2023, more than 2.5 times the pre-industrial level of 722 ppb. Satellite data from the MethaneSAT mission launched in March 2024 is expected to identify and quantify methane emissions from individual oil and gas facilities worldwide. Methane has a global warming potential 80 times that of CO2 over a 20-year period.",NOAA Climate Report,en,science
57,"The British Antarctic Survey reported in February 2024 that Antarctic sea ice extent had been below the previous record low for 9 of the preceding 12 months. The continent lost 2.6 million square kilometers of ice below the 1981-2010 median. Researchers are investigating whether this represents a regime shift in Antarctic ice dynamics or an extreme but temporary fluctuation driven by ocean heat transport patterns.",British Antarctic Survey,en,science
58,"A team at ETH Zurich published a study in Nature showing that 2023 summer heatwaves in the Northern Hemisphere would have been virtually impossible without human-caused climate change. The World Weather Attribution initiative found that the July 2023 heatwave in Southern Europe, North Africa, and the Middle East was made approximately 2.5 degrees Celsius hotter by climate change. Phoenix, Arizona experienced 31 consecutive days above 43 degrees Celsius.",Nature Climate Change,en,science
59,"Unprecedented flooding in Pakistan during August and September 2022 submerged one-third of the country, affected 33 million people, and caused over $30 billion in damages. The floods were driven by monsoon rainfall 190% above normal levels, amplified by glacial melt from the Karakoram and Hindu Kush ranges. The World Health Organization reported 1,739 deaths and warned of waterborne disease outbreaks affecting 8 million displaced people.",WHO Situation Report,en,impact
60,"The economic cost of weather and climate disasters in the United States reached $92.9 billion in 2023, according to NOAA. There were 28 separate billion-dollar disaster events, including wildfires in Hawaii that destroyed the historic town of Lahaina and killed 100 people. Insurance industry analysts warn that climate-related losses are making coverage unaffordable or unavailable in high-risk coastal and wildfire zones.",NOAA Billion-Dollar Disasters,en,impact
61,"The World Health Organization estimates that climate change will cause approximately 250,000 additional deaths per year between 2030 and 2050 from malnutrition, malaria, diarrhea, and heat stress alone. The Lancet Countdown on Health and Climate Change reported that heat-related mortality among people over 65 increased by 68% between 2000 and 2022, with the Middle East and South Asia facing the greatest burden.",Lancet Countdown Report,en,impact
62,"In East Africa, the 2020-2023 drought was the worst in 40 years, affecting 36 million people across Kenya, Somalia, and Ethiopia. Five consecutive failed rainy seasons led to the death of over 13 million livestock, devastating pastoralist communities. The drought was followed by devastating floods in late 2023 when the delayed short rains arrived with extreme intensity, displacing 2.4 million people in Somalia alone.",OCHA Situation Report,en,impact
63,"Air quality in Amman deteriorated significantly during the 2023 summer heatwave, with PM2.5 concentrations exceeding 75 micrograms per cubic meter on 12 days, three times the WHO guideline of 25 micrograms. The combination of vehicular emissions, industrial activity, and heat-driven ozone formation created hazardous conditions for the city's 4.2 million residents. The Ministry of Health issued advisories for children and elderly populations.",Jordan Times,en,impact
64,"Climate-driven displacement reached a new high in 2023, with the Internal Displacement Monitoring Centre recording 26.4 million new internal displacements due to weather-related events. The Middle East and North Africa region saw 1.2 million climate displacements, primarily from floods in Libya and drought across the Levant. UNHCR warned that climate migration will intersect with existing refugee crises in Jordan, Lebanon, and Turkey.",IDMC Global Report,en,impact
65,"Morocco's Noor-Ouarzazate concentrated solar power complex, one of the world's largest at 580 megawatts, uses molten salt thermal storage to generate electricity for up to 7 hours after sunset. The $2.5 billion facility reduces Morocco's CO2 emissions by 760,000 tonnes annually. Morocco aims to reach 52% renewable energy capacity by 2030, leveraging its position in the Sahara to become a solar energy exporter to Europe.",MENA Environmental Report,en,adaptation
66,"The Great Green Wall of the Sahara and Sahel Initiative, launched in 2007, aims to restore 100 million hectares of degraded land across 8,000 kilometers from Senegal to Djibouti. As of 2024, approximately 18 million hectares have been restored. UNEP coordinates the effort with 20 African nations, and the initiative received $19 billion in pledged funding at the One Planet Summit in January 2021.",UNEP Great Green Wall Report,en,adaptation
67,"Denmark's Kalundborg Symbiosis, operating since 1972, is the world's longest-running industrial symbiosis network. Nine companies exchange waste heat, water, and materials: a power plant's steam heats 5,000 homes, its fly ash produces cement, and a refinery's waste gas fuels a plasterboard factory. The network reduces CO2 emissions by 635,000 tonnes per year and saves participating companies $28 million annually.",European Adaptation Case Studies,en,adaptation
68,"The city of Medina al-Munawwarah launched an urban cooling initiative in 2023 using reflective road surfaces and expanded tree cover. The project targets a 3-degree Celsius reduction in surface temperatures across the central pilgrimage district by 2027. The initiative is part of Saudi Arabia's broader urban climate adaptation strategy, which allocates $2 billion for heat mitigation in cities across the kingdom.",MENA Environmental Report,en,adaptation
69,"Egypt's National Adaptation Plan prioritizes the Nile Delta, where 50% of the country's agricultural land faces saltwater intrusion from sea level rise. The plan includes a $3.5 billion investment in raised coastal barriers, improved drainage systems, and salt-tolerant crop varieties developed by the Agricultural Research Centre. The Delta produces 60% of Egypt's rice and 40% of its fish, supporting 40 million livelihoods.",Egypt National Adaptation Plan,en,adaptation
70,"Urban heat island effects in Middle Eastern cities amplify ambient temperatures by 3 to 8 degrees Celsius above surrounding areas. Amman, Riyadh, and Baghdad are among the fastest-warming cities globally. Adaptation strategies include cool roof mandates requiring white or reflective coatings, expanded urban green corridors, and redesigned building codes that maximize natural ventilation and shade.",MENA Environmental Report,en,adaptation
71,"UNEP's Emissions Gap Report 2023 found that current policies put the world on track for 2.5 to 2.9 degrees Celsius of warming by 2100. Full implementation of all conditional and unconditional NDCs would reduce this to 2.0 degrees, still above the Paris Agreement goal. The report called for a 42% reduction in global emissions by 2030 and a 57% reduction by 2035 relative to 2019 levels.",UNEP Emissions Gap Report,en,policy
72,"The Dead Sea-Red Sea Conveyance Project, long proposed as a joint initiative between Jordan, Israel, and the Palestinian Authority, aims to deliver 300 million cubic meters of desalinated water per year while stabilizing Dead Sea levels. The $10 billion project would include a hydropower plant generating 800 megawatts using the 400-meter elevation difference between the Red Sea and Dead Sea. As of 2024, feasibility studies continue under World Bank oversight.",World Bank Water Report,en,adaptation
73,"A comprehensive analysis in The Lancet Planetary Health found that exposure to temperatures above 35 degrees Celsius wet-bulb reduces outdoor labor capacity by 12% globally. In the Middle East and South Asia, lost labor hours due to extreme heat are projected to cost $2.4 trillion annually by 2030. Jordan's construction and agricultural sectors are particularly vulnerable, with 40% of outdoor work occurring during peak heat months.",Lancet Planetary Health,en,impact
74,"The Antarctic ozone hole reached its maximum extent of 26.0 million square kilometers on September 21, 2023, ranking as the 12th largest since records began in 1979. While the Montreal Protocol has prevented further ozone depletion, full recovery is not expected until approximately 2066 over Antarctica. Scientists from NOAA and NASA monitor ozone levels using balloon-borne instruments and satellite sensors.",NASA Ozone Watch,en,science
75,"Climate change is projected to reduce hydropower generation potential in the Mediterranean region by 5-15% by 2050 due to decreased precipitation and river flow. Jordan's Al Tafila wind farm, operating 38 turbines at 117 megawatts capacity, demonstrates the region's pivot toward wind energy as a complement to solar. The wind farm generates enough electricity for approximately 80,000 Jordanian households annually.",IRENA Regional Assessment,en,adaptation
76,"The Intergovernmental Panel on Climate Change Special Report on the Ocean and Cryosphere found that the global ocean has absorbed 90% of the excess heat generated by greenhouse gas emissions since 1970. Marine heatwaves have doubled in frequency since 1982 and are projected to become 20 to 50 times more frequent under 2 degrees of warming. These events devastate fisheries and accelerate ice shelf disintegration.",IPCC Summary,en,science
77,"In October 2023, the African Group of Negotiators called for $1.3 trillion in annual climate finance by 2030, arguing that current flows of approximately $100 billion per year are inadequate for the continent most affected by climate change. Africa produces only 3.8% of global emissions but faces adaptation costs of $50 billion per year, projected to rise to $100-350 billion by 2030 under moderate warming scenarios.",African Climate Policy Institute,en,policy
78,"Jordan's Azraq refugee camp, home to approximately 43,000 Syrian refugees, became the world's first refugee settlement powered entirely by renewable energy in 2017 when a 12.9-megawatt solar plant was completed with UNHCR and IKEA Foundation funding. The facility saves $5.5 million annually in energy costs and provides 14 hours of electricity per day to camp residents, replacing diesel generators that previously supplied only 8 hours.",UNHCR Innovation Report,en,adaptation
79,"أصدرت الهيئة الحكومية الدولية المعنية بتغير المناخ تقريرها التجميعي السادس في مارس 2023، محذرة من أن العالم يتجه نحو تجاوز عتبة 1.5 درجة مئوية بحلول عام 2030. وأكد التقرير أن الحد من الاحترار يتطلب خفض الانبعاثات العالمية بنسبة 43% بحلول عام 2030 مقارنة بمستويات عام 2019، وهو هدف يستلزم تحولاً جذرياً في أنظمة الطاقة والنقل والصناعة.",ملخص تقرير الهيئة الحكومية الدولية,ar,policy
80,"وقّع الأردن اتفاقية شراكة مع البنك الدولي في يونيو 2024 لتمويل مشاريع التكيف مع المناخ بقيمة 250 مليون دولار. تشمل المشاريع تحسين كفاءة استخدام المياه في وادي الأردن، وبناء محطات لتحلية المياه، وتطوير أنظمة الإنذار المبكر للفيضانات في المناطق الجبلية. وأكد وزير البيئة الأردني أن هذه الاستثمارات ضرورية لحماية الأمن المائي والغذائي للمملكة.",تقرير المناخ الأردني,ar,policy
81,"في مؤتمر الأطراف الثامن والعشرين المنعقد في دبي، اتفقت الدول على التحول بعيداً عن الوقود الأحفوري في أنظمة الطاقة. وطالبت الدول النامية بتعويضات عن الأضرار المناخية التي لحقت بها رغم مساهمتها المحدودة في الانبعاثات. كما أُعلن عن صندوق لمعالجة الخسائر والأضرار بقيمة 792 مليون دولار من التعهدات الأولية.",نشرة السياسات المناخية,ar,policy
82,"أعلنت منظمة الأغذية والزراعة أن 735 مليون شخص عانوا من الجوع المزمن في عام 2022، وأن تغير المناخ يُعد من أبرز العوامل المؤثرة على الإنتاج الزراعي. ودعت المنظمة إلى استثمار 4 مليارات دولار سنوياً لتحويل النظم الغذائية نحو الاستدامة والقدرة على التكيف مع التغيرات المناخية.",تقرير منظمة الأغذية والزراعة,ar,policy
83,"اعتمدت الأمم المتحدة إطار كونمينغ-مونتريال العالمي للتنوع البيولوجي في ديسمبر 2022، والذي يهدف إلى حماية 30% من الأراضي والمحيطات بحلول عام 2030. ويرتبط هذا الإطار ارتباطاً وثيقاً بأهداف المناخ، حيث تساهم النظم البيئية السليمة في امتصاص الكربون وتوفير خدمات التكيف الطبيعية.",برنامج الأمم المتحدة للبيئة,ar,policy
84,"أطلق الاتحاد الأوروبي آلية تعديل حدود الكربون في أكتوبر 2023، والتي تلزم المستوردين بالإبلاغ عن محتوى الكربون في السلع المستوردة كالفولاذ والإسمنت والألمنيوم. وتهدف الآلية إلى منع تسرب الكربون وضمان تكافؤ الفرص التنافسية بين المنتجين الأوروبيين والمستوردين من دول ذات معايير بيئية أقل صرامة.",نشرة التنظيمات المناخية الأوروبية,ar,policy
